words,sentiment_coeff
analitykow,-54.940362310771555
wydany,-72.62812277476536
odbedzie_sie,-92.03724705743481
aktor_zaangazowany,-124.4914654200655
mogl,-50.666519407440354
johnny,-93.17033040681765
czynnikiem,-72.36379551707364
najwiekszego,-69.41346176319725
skupia_sie,-91.94013789953294
finansowych,-45.279288124358395
jest_rowniez,-25.083182156715885
koniec_marca,-62.345756707224915
najwyzszych,-117.4091758712468
w_sesje,-69.4167138375579
motion_capture,-84.76512427082558
date,-18.153385764127805
po_godz,-77.26355554458053
na_koniec,-100.19434414494056
22,-27.84859295223851
2_mln,-45.22862351925817
matrix,-60.84444703873417
2019_r,-111.94089097910334
rozpoczela,-47.62413313874308
zaliczki_ktore,-123.11137866289216
ujawnilismy_w,-48.78574920095018
zwiazane_byly,-43.19920342901276
z_przedplata,-66.6496496519593
na_wytworzenie,-122.5547398962406
elementow_edycji,-88.53466241604048
kolekcjonerskiej_powiedzial,-48.01556256231041
w_trylogii,-20.158304943670316
odtworca_glownej,-42.92595566764862
wydatki_grupy,-98.53603782389756
na_rozwoj,-31.62461613433102
nowych_tytulow,-63.419694237396676
gracze,-72.12556117895997
wyniosla_na,-103.05066322111658
dwa,-78.95368726344877
go,-67.25621774899533
oczekiwan_rynku,-35.78365883929395
west,-43.65044615579805
exhibit_hall,-44.41781327148848
swoje,-36.26737048754944
przedsprzedaz_cyberpunka,-75.44091897806217
keanu_reevesa,-49.65681153553843
ponad_20,-54.75926428007831
trzech_miesiecy,-61.98876176967686
lepsze_od,-32.39380497576384
okazaly_sie,-63.21602432612288
wideo,-98.66939606334462
ze_zarzad,-24.802282147468205
mln_razy,-77.64181744877752
poziom,-51.7475047159116
oficjalne,-61.42347864564991
czas,-101.29304438414853
6_mln,-68.37971712231605
konsensusu,-31.028671822051702
przychody_producenta,-78.33330255131811
9_mln,-85.91208315892919
konsensus,-108.03601023469719
zapowiada,-99.67293170052612
dobra,-68.36711484508281
sprzedaz_wiedzmina,-122.21415647888495
beda_mogli,-69.25497345355446
przychody,-46.09999818395888
gog_com,-85.2010028970927
laczna_wartosc,-29.191285701853488
srodkow_pienieznych,-147.32821937244347
oraz_lokat,-28.16033529243808
bankowych_powyzej,-61.93979749985965
wyniosly_25,-23.333496013195088
co_przelozylo,-60.43752846711797
na_skumulowane,-45.99105526141119
przekroczyly,-94.9286959887485
na_pewno,-65.4929948401164
projekcie,-118.98744492458268
sporym,-44.47570780283327
ostatni,-95.53666689551855
najwiekszej,-68.2087793423694
w_niedziele,-101.47953856842011
14,-56.19259202899462
saldo_nakladow,-86.55561363171437
wieczorem,-51.387348082528554
producenta_gier,-78.02691506585815
kurs_cd,-49.04341420059716
z_inwestorami,-74.40510616737531
cena,-78.29193881930495
w_piatek,-69.35467090558977
o_drugiej,-113.98376295092152
tomasz_rodak,-111.46241117554781
reeves,-68.24382634313945
uzyczy_keanu,-41.22190393937617
ktorych,-124.01394745836039
dodal,-69.16241214262217
takze_glosu,-58.967105628078095
w_anglojezycznej,-67.99410391582886
prawie,-16.13481898431923
kiedys,-48.49447906554281
singleplayer,-43.67369487730933
docelowo_chce,-68.38779181005313
miec_dwa,-69.65035007681543
momencie,-55.16093813462659
zostala_ustalona,-94.17935521974655
jaki,-88.32127112549945
zespolow,-127.5829933637929
informacji,-78.8174358704448
zwlaszcza,-66.52841015684308
pracuje,-42.27088282149628
wersja,-80.77138949106079
prace_rozwojowe,-56.52605843392025
264_mln,-100.82745996761244
ujawnia,-130.30035625423605
obecnie_ponad,-71.65357531148804
400_osob,-27.938486521410656
targami,-41.47443128531719
chcemy_aby,-122.38140338701041
angeles_byla,-86.02743600020753
jeszcze_bardziej,-28.49369593856997
widoczna_niz,-32.576196546469625
rok_temu,-122.01433570697723
mediow,-113.76900467662698
partnerow_biznesowych,-45.03983059916517
graczy_a,-71.92502197753664
pokazywany,-105.52106575425329
emocje,-52.53187902092856
przygotowujemy_cos,-51.1754122913084
naprawde_ekscytujacego,-114.17471151392897
nie_mozemy,-39.91781174767948
sie_doczekac,-23.357582754071018
zeby_sie,-145.29510132199698
tym_podzielic,-107.91509865350478
czerwiec_zapowiada,-115.7327626208566
sie_niezwykle,-94.07940782346668
interesujaco_dodal,-30.48022307820316
poszybowal,-66.94486419600291
oczekiwania_graczy,-51.447391998002345
miesiac,-76.82618387535025
coraz,-126.19933163815654
usa,-54.608482805398346
wiadomosc,-46.35556698743045
trzy,-61.75936789806276
ceny,-90.37090872895071
gotowki,-53.20227535235792
moment,-97.72883727332292
sesji_kurs,-102.93147189310407
nie_mamy,-27.704496526275875
wzrost,-69.72173761680212
wyceny_to,-42.683307080495084
raport,-42.08559805488309
liczbe,-108.2087631006943
to_dopiero,-51.028428973604086
idzie_dobrze,-42.644021492524615
czas_na,-14.916837425296196
rozne,-78.13437748209907
jestesmy_bardzo,-29.16997017873744
dlugo,-81.99055894405977
naturalne,-38.273122757915864
bedzie_kolejna,-76.2312237156932
najbardziej_wytezony,-98.37857096914243
duzym,-48.171653602951444
powiedzial_prezes,-112.08313924033347
strategia_cd,-46.29846796882392
projektu_zaklada,-71.37438324427295
dwoch_gier,-46.38102834140302
we,-64.87680539849129
jeden_z,-51.959401422005186
przeznaczenie,-34.93233463804243
100_9,-21.86540060410049
zapowiedzial,-57.95459368720872
trzema,-68.91605446969402
nas,-76.72638237427155
duzy,-44.502529608776726
okolo_40,-72.63408910897502
z_uwagi,-95.02215066333609
zadowoleni_ale,-61.44272437556519
wielkosci,-80.15330305429033
wielkie_wydarzenie,-16.329144473542883
zalozenia,-83.04732458914114
ma_zostac,-51.07429952302892
tys_kopii,-114.88350752091144
ocenia,-57.550360186394094
ponad_400,-76.16412200012599
pracuje_obecnie,-53.497946472169076
kacper_kopron,-44.251785457773416
wysokiej_jakosci,-16.03067209552706
projektem,-63.31924290858021
opiera,-37.95153134418717
zadowoleni,-83.11047641616265
sprzedanych,-131.71649367592255
kopii,-93.18535447584092
cyfrowej,-31.314044885427364
dystrybucji,-7.082818450583614
poza,-104.67734857444374
rownoczesnie_na,-52.538872523071134
czerwca,-14.54773771019665
platformy,-39.563796931137894
kolejnej_generacji,-44.55258236844961
podstaw,-99.24114017878574
ten_sposob,-61.91685170183509
10_proc,-59.54205275326463
mieli,-38.16972108630055
szanse,-25.43663828774027
duzej,-116.18698939364076
mowimy,-35.95339207726507
nowym,-63.77809161846047
poziomie,-39.62961589467064
poczatek_mowi,-32.485610070512614
planujemy_tez,-46.05818475034569
liczba,-44.858782524628936
na_fakt,-38.94960505380586
pojawila_sie,-40.67106990989094
